filename,corners,check_corners
A0044N12_Flash0_A0044N12fullhd_1632909983146_2.0.7.png,596.57 490.22 244.38 487.29 241.78 276.59 597.09 276.75,1
A0044N1N_Flash0_A0044N1Nfullhd_1632984711470_2.0.7.png,435.37 389.02 176.33 388.07 178.51 231.85 435.66 232.18,1
G00002EEE_Flash0_G00002EEEfullhd_1632736086759_2.0.6.png,619.95 503.83 242.01 515.24 237.94 284.02 615.21 278.07,1
A0044MX6_Flash0_A0044MX6fullhd_1632897545539_2.0.7.png,461.47 378.02 190.49 379.34 190.8 216.03 460.61 215.77,1
A0044N2K_Flash0_A0044N2Kfullhd_1632742668466_2.0.7.png,601.63 520.85 217.51 508.31 214.39 272.79 596.85 267.42,1
G00002EBF_Flash0_G00002EBFfullhd_1632393710752_2.0.7.png,1351.96 1111.71 446.14 1126.12 446.69 590.65 1333.72 570.11,1
A0044N0Z_Flash0_A0044N0Zfullhd_1632895030790_2.0.7.png,458.34 392.07 184.91 387.48 186.67 223.37 458.5 223.2,1
G00002EEO_Flash0_G00002EEOfullhd_1632392716049_2.0.7.png,1259.82 1051.01 483.48 1059.59 482.32 592.93 1253.11 586.33,1
A0044MIO_Flash0_A0044MIOfullhd_1632998301753_2.0.7.png,473.43 356.38 193.16 352.17 195.11 183.55 475.53 186.32,1
G00002E9j_Flash0_G00002E9jfullhd_1632392929799_2.0.7.png,467.47 390.29 171.07 385.22 181.94 213.5 468.48 213.6,1
A0044N0V_Flash0_A0044N0Vfullhd_1632979186113_2.0.7.png,582.42 480.38 217.08 485.59 217.07 261.7 585.51 261.77,1
G00002EDb_Flash0_G00002EDbfullhd_1632723801958_2.0.7.png,1327.59 1092.47 576.45 1099.25 576.96 648.24 1321.15 642.61,1
A0044MJ0_Flash0_A0044MJ0fullhd_1632980807589_2.0.7.png,445.59 399.23 213.62 400.5 212.02 261.65 442.82 258.38,1
A0044MMP_Flash0_A0044MMPfullhd_1632914601990_2.0.7.png,574.68 491.66 237.78 495.98 232.98 293.78 570.39 287.48,1
G00002E7z_Flash0_G00002E7zfullhd_1632727824753_2.0.7.png,1353.29 1119.64 608.93 1127.6 609.93 672.81 1346.53 673.56,1
A0044MWZ_Flash0_A0044MWZfullhd_1633070263637_2.0.7.png,443.54 368.71 185.13 364.01 185.5 208.15 446.3 212.36,1
A0044MGR_Flash0_A0044MGRfullhd_1632999071402_2.0.7.png,458.04 380.81 179.21 382.59 179.05 215.54 455.3 213.24,1
A0044MGT_Flash0_A0044MGTfullhd_1632988591523_2.0.7.png,594.58 479.22 240.05 489.86 232.55 276.07 590.95 266.35,1
A0044MHZ_Flash0_A0044MHZfullhd_1633072016705_2.0.7.png,452.84 363.34 203.73 362.87 205.53 213.79 451.69 213.84,1
A0044MH1_Flash0_A0044MH1fullhd_1633082928957_2.0.7.png,457.81 405.1 164.26 409.49 162.02 231.98 455.23 227.02,1
A0044MYT_Flash0_A0044MYTfullhd_1632986201804_2.0.7.png,454.18 391.61 170.76 393.74 172.29 222.34 452.63 222.41,1
A0044MM0_Flash0_A0044MM0fullhd_1632996134652_2.0.7.png,451.78 405.25 177.88 410.16 176.3 245.93 447.44 240.84,1
A0044N1Y_Flash0_A0044N1Yfullhd_1632914788580_2.0.7.png,446.68 379.91 166.78 374.31 170.11 205.32 451.07 210.25,1
A0044N09_Flash0_A0044N09fullhd_1632743820328_2.0.7.png,575.68 496.21 231.11 498.71 227.44 291.13 573.42 287.91,1
G00002E8h_Flash0_G00002E8hfullhd_1632391485517_2.0.7.png,1333.06 1089.4 469.21 1082.14 486.4 573.84 1327.59 576.67,1
A0044MK0_Flash0_A0044MK0fullhd_1633071211057_2.0.7.png,451.19 381.48 182.22 379.23 186.28 215.33 451.99 220.55,1
A0044MJB_Flash0_A0044MJBfullhd_1632983379985_2.0.7.png,582.43 483.23 256.2 474.4 256.97 279.7 585.94 285.16,1
A0044MZI_Flash0_A0044MZIfullhd_1632895747788_2.0.7.png,458.79 374.28 185.89 369.22 190.24 205.59 460.76 210.51,1
G00002E9V_Flash0_G00002E9Vfullhd_1632381444604_2.0.7.png,452.33 399.21 182.21 384.1 183.38 217.85 453.69 222.35,1
G00002EDY_Flash0_G00002EDYfullhd_1632390906506_2.0.7.png,440.59 343.42 183.19 346.99 182.93 192.36 436.73 190.17,1
A0044N1D_Flash0_A0044N1Dfullhd_1632825491831_2.0.7.png,585.14 482.93 252.46 485.09 249.35 285.39 581.26 280.86,1
A0044N12_Flash0_A0044N12fullhd_1632826542519_2.0.7.png,576.81 492.16 228.89 492.37 227.94 283.17 581.08 283.48,1
A0044N16_Flash0_A0044N16fullhd_1632913981512_2.0.7.png,455.56 396.94 165.0 386.71 171.59 211.65 461.6 221.52,1
A0044MKX_Flash0_A0044MKXfullhd_1633084660454_2.0.7.png,456.17 405.14 163.56 407.8 164.04 231.48 454.34 228.73,1
G00002EEh_Flash0_G00002EEhfullhd_1632379375135_2.0.7.png,1196.86 1162.26 642.79 1119.96 663.25 777.93 1215.31 808.9,1
